name,net_worth,gender,age,birth_year,birth_month,birth_day,industry,self_made,country,gdp_country,cpi_change_country,gross_tertiary_education_enrollment,life_expectancy_country,total_tax_rate_country,population_country
Liang Xinjun,2200,M,54.0,1968.0,10.0,1.0,Diversified,True,Singapore,"$372,062,527,489 ",0.6,84.8,83.1,21.0,5703569.0
Nadir Godrej,2700,M,72.0,1951.0,1.0,1.0,Diversified,False,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
William Young,2000,M,82.0,1941.0,1.0,1.0,Manufacturing,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Katharina Otto-Bernstein,3100,F,59.0,1964.0,1.0,1.0,Real Estate,False,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Chen Kaixuan,3200,M,64.0,1958.0,5.0,1.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Shiv Kishan Agrawal,1500,M,82.0,1941.0,1.0,1.0,Food & Beverage,False,India,"$2,611,000,000,000 ",7.7,28.1,69.4,49.7,1366417754.0
Christian Angermayer,1000,M,44.0,1978.0,4.0,26.0,Finance & Investments,True,United Kingdom,"$2,827,113,184,696 ",1.7,60.0,81.3,30.6,66834405.0
Nerio Alessandri,1500,M,61.0,1961.0,4.0,8.0,Manufacturing,True,Italy,"$2,001,244,392,042 ",0.6,61.9,82.9,59.1,60297396.0
Jiang Bin,4500,M,56.0,1966.0,9.0,16.0,Technology,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Federico De Nora,1500,M,55.0,1968.0,3.0,23.0,Manufacturing,False,Italy,"$2,001,244,392,042 ",0.6,61.9,82.9,59.1,60297396.0
Lawrence Golub,1200,M,63.0,1959.0,10.0,3.0,Finance & Investments,True,United States,"$21,427,700,000,000 ",7.5,88.2,78.5,36.6,328239523.0
Wang Xiaoshen,1200,M,54.0,1968.0,10.0,1.0,Manufacturing,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
Wang Jianguo,1300,M,63.0,1960.0,1.0,1.0,Fashion & Retail,True,China,"$19,910,000,000,000 ",2.9,50.6,77.0,59.2,1397715000.0
